autor,campus,grau,degree_cent,betweenness,closeness,eigenvector,pagerank
DIOGO DE SOUZA PINTO,CÂMPUS CIDADE DE GOIÁS,1,0.0012406947890818859,0.0,0.0071464019851116625,1.6575993514864712e-16,0.0006429580917722295
MICHELE JUSSARA BAGESTAO,REITORIA,1,0.0012406947890818859,0.0,0.13734071176610801,1.8617320029515161e-07,0.00037577581039344366
MATILDE BATISTA MELO,CÂMPUS GOIÂNIA,1,0.0012406947890818859,0.0,0.10369528302925035,2.1403802313931087e-08,0.0003740637934306275
Daniela Martins Silva,CÂMPUS ITUMBIARA,4,0.004962779156327543,0.001057559042391163,0.10165320200795822,1.364375943494938e-08,0.00044721180978498905
CHARLENE CARDOSO CRUZ,CÂMPUS FORMOSA,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
ANNA CAROLLINE BAIAO MALAQUIAS,REITORIA,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
THAMISE SAMPAIO VASCONCELOS VILELA,CÂMPUS GOIÂNIA,5,0.006203473945409429,0.0005565583202127595,0.13152350094345353,0.0002021436287676802,0.0007670381553172129
ALEXSSANDRO RIBEIRO MOURA,CÂMPUS APARECIDA DE GOIÂNIA,1,0.0012406947890818859,0.0,0.09078666510989417,2.103079763468263e-15,0.0004156081572859085
M.E. Oliveira,CÂMPUS ITUMBIARA,4,0.004962779156327543,0.00034935545699009006,0.13319839807343048,0.0007670962821727048,0.0003722932428781539
J.A. Santos,CÂMPUS ITUMBIARA,4,0.004962779156327543,0.00034935545699009006,0.13319839807343048,0.0007670962821727048,0.0003722932428781539
MURILO FEITOSA CABRAL,CÂMPUS LUZIÂNIA,1,0.0012406947890818859,0.0,0.0016542597187758478,7.853422887083195e-30,0.0009519304867561574
JOAQUIM JOSE FRAZAO,CÂMPUS CIDADE DE GOIÁS,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
A. R. Silva,CÂMPUS ANÁPOLIS,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
ALESSANDRO RODRIGUES E SILVA,CÂMPUS ANÁPOLIS,1,0.0012406947890818859,0.0,0.1052048755561452,1.3960324170408848e-09,0.00036975652084556275
LEONARDO MAGALHAES DE CASTRO,CÂMPUS ITUMBIARA,4,0.004962779156327543,0.004840689611682878,0.11776711699292344,5.519675164663875e-07,0.0008875075816613359
DANYLLO DI GIORGIO MARTINS DA MOTA,CÂMPUS APARECIDA DE GOIÂNIA,1,0.0012406947890818859,0.0,0.09057976751392813,2.5153628485376414e-15,0.0004276057632751127
LUCAS DE BESSA COUTO,CÂMPUS ANÁPOLIS,1,0.0012406947890818859,0.0,0.0016542597187758478,3.623392386552814e-18,0.0005689020463520565
ROGER PEREIRA ALVES,CÂMPUS GOIÂNIA OESTE,1,0.0012406947890818859,0.0,0.07579405412874077,2.6952506261282017e-14,0.0007049644755246348
A. S. Silva,CÂMPUS URUAÇU,1,0.0012406947890818859,0.0,0.12233426280428335,1.3724249803651809e-06,0.0003575633504249305
DOUGLAS ROLINS DE SANTANA,CÂMPUS GOIÂNIA,2,0.0024813895781637717,0.0,0.12854593138781262,1.5677969117852029e-06,0.0005344079116301979
GUSTAVO DE ASSIS COSTA,CÂMPUS JATAÍ,5,0.006203473945409429,0.014740641282215127,0.14553790547459414,2.8149870005446294e-05,0.0010402072397868967
ANA RITA DA SILVA,CÂMPUS CIDADE DE GOIÁS,1,0.0012406947890818859,0.0,0.0962382614651614,4.029721856985887e-13,0.00035444077634971826
ANA JULIA RODRIGUES CARVALHO,CÂMPUS INHUMAS,4,0.004962779156327543,1.5412357628346407e-06,0.11964600236337043,4.170851331268748e-11,0.001223946612155268
DANIELLE BATISTA DE MORAES,CÂMPUS LUZIÂNIA,4,0.004962779156327543,0.00040919809503259713,0.11964600236337043,2.1366831770976723e-11,0.0012282437233676218
SYD PEREIRA FARIA,CÂMPUS INHUMAS,2,0.0024813895781637717,0.0,0.08118137660357774,7.2193499610874535e-09,0.0009679516563486327
